DateTime,Website Name,URL,Status,Ping (ms),HTTP Time (ms),DNS Time (ms),Content Size (KB),Redirects,Keyword Check,SSL Days Left,SSL Expiry Date,Domain Days Left,Domain Expiry Date,Notes
2025-10-03T09:51:32.913120+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,265.51,1266.7,3.12,31.02,0,Pass,57,2025-11-30T00:03:57+00:00,338,2026-09-07T08:34:32.369000+00:00,
2025-10-03T09:53:33.449773+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,581.3,39.14,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
2025-10-03T09:53:38.226224+00:00,SMPB Odisha,https://smpbodisha.in/,Up (Slow),153.0,11458.29,70.35,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
2025-10-03T09:54:02.142366+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed,360.13,3.41,55.88,0,Pass,61,2025-12-04T04:57:50+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:54:05.603801+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed,467.77,3.9,48.95,0,Pass,46,2025-11-18T11:19:02+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:54:09.376534+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up (Slow),158.41,12665.51,2.91,105.88,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:54:34.189480+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,N/A,1181.48,4.19,62.32,0,Pass,64,2025-12-06T17:57:23+00:00,67,2025-12-10T08:22:51.100000+00:00,
2025-10-03T09:54:37.463912+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,6.16,491.11,44.72,61.7,0,Pass,38,2025-11-11T00:10:00+00:00,169,2026-03-21T11:20:19+00:00,
2025-10-03T09:54:39.886087+00:00,OFS Disposition List (HRD),https://odishaforest.in/hrd/ofs-disposition-list-sb,Up (Slow),N/A,11369.27,3.42,219.24,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:54:53.398481+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,225.09,1156.28,3.46,31.02,0,Pass,57,2025-11-30T00:03:57+00:00,338,2026-09-07T08:34:32.369000+00:00,
2025-10-03T09:54:48.610179+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,525.0,63.71,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
2025-10-03T09:54:53.309400+00:00,SMPB Odisha,https://smpbodisha.in/,Up (Slow),152.1,11424.08,36.19,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
2025-10-03T09:55:07.303904+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed,365.67,3.84,55.88,0,Pass,61,2025-12-04T04:57:50+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:55:10.556189+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed,479.64,3.71,48.95,0,Pass,46,2025-11-18T11:19:02+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:55:14.198971+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,158.47,1188.34,3.06,105.88,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:55:18.780030+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,N/A,1573.52,4.08,62.32,0,Pass,64,2025-12-06T17:57:23+00:00,67,2025-12-10T08:22:51.100000+00:00,
